cleaned_lat	cleaned_lon
16.51	96.11
13.7572	100.4849
32.243254	-110.946221
30.3	120.2
-34.86111866	179.0576651
12.9165	79.1325
48.21	16.37
-23.55	-46.633
41.657	-91.549
22.38	114.2
10.76993	-73.00479
35.84	50.9391
11.325	142.189
55.329053	8.74336
56.565132	9.042158
56.126497	10.141274
40.807051	14.168539
-29.40699	30.67534
35.97	-84.36
-1.45583	-48.50444
-26.91944	-49.06611
-22.9527	-46.54418
22.4932	113.8762
38.999838	-77.106017
40.44	-79.97
-23.502	-67.7237
-12.04318	-77.02824
1.3442	103.6803
35.1495	-90.049
37.54580972	126.99330531
35.68099174	139.76901295
51.4508	7.2542
-25.943357	32.573694
24.552367	113.745576
28.19111	117.766944
40.546053	-2.050427
43.073847	-89.414083
43.073847	-89.413972
55.69	37.62
39.5167	-0.4231
-26.25	27.85
-24.82	31.26
23.2	113.3
40.28	-74.26
52.4685	-113.7307
25.049023	113.664012
59.27	15.21
30.15	120.1
23.08	113.14
31.4545	74.2738
46.5333	6.6667
42.0349	9.1398
29.01	108.21
39.26	117.25
30.41	103.51
24.541	102.895
-34.86207984	179.0572892
55.1306841	-1.7020825
35.9396	-83.943
35.12	113.37
22.26	112.75
45.045833	-73.132778
57.049513	9.864788
55.488097	8.430505
55.432604	10.458855
21.9935	113.7221
1.35	103.82
40.4308	-79.9598
48.85	2.35
22.2827	114.1368
48.31	16.09
39.22	-97.55
34.76	113.65
22.32	114.17
37.8	112.5
30.28	120.17
36.4	117.0
10.4113	-74.4057
-27.499549	153.013045
-32.36305833	117.01555556
36.1097	-97.1116
-25.4239	-49.2619
46.15	14.59
35.1546243	128.0994027
37.75	-0.78
29.6372	-82.352
35.6969371	139.7190195
30.28	120.15
-23.55	-46.63
26.65	118.17
22.36	112.68
-25.42	-49.27
42.48	-72.1787
34.07	-118.44
51.0527829	3.7067699
38.988883	-76.481891
41.53	12.3
-19.919167	-43.946389
39.9	116.3
46.94913	-91.10256
3.0738	101.5183
36.2048	138.2529
44.35	-103.76
31.14	118.22
51.23	-0.61
49.4	8.69
51.0	-114.0
28.977012	117.601665
34.73	113.7
53.1234	18.0084
43.073051	-89.40123
24.38684339	124.19122364
-34.9285	138.6007
-10.0	-52.0
22.32	114.03
29.3579	105.8905
-6.5539	106.7233
35.6514	139.4813
35.07	137.0
18.0866	-67.1457
34.16	-83.67
31.2	121.4
22.36	114.08
-27.4698	153.0251
24.91	121.3
51.26555556	1.23777778
17.36	-62.78
44.767532	10.31437
38.66837	-122.58818
-6.7924	39.2083
43.155517	28.005383
30.67	104.07
-22.22111	-54.80556
-3.71722	-38.54306
22.14	114.13
36.72	117.08
55.74	37.62
46.68	-68.0
25.809526	107.619435
-33.60435	121.79052
29.7142	-95.391
43.033933	-89.356452
26.533949	112.607502
25.148046	107.500854
29.86	121.56
19.0335	72.8383
-25.7479	28.2293
47.562939	7.583467
19.61	110.72
35.977298	-84.273484
32.71	-117.16
53.33	10.1
-38.666639	-62.234444
-37.856	144.964
49.04	-122.25
29.59828	85.75094
37.715755	-122.19387
48.28	2.67
0.2144	-78.4981
-15.75	-47.95
39.56	116.2
-19.2822	-43.5936
40.41	-3.7
-37.86	144.96
54.3583	-128.541133
55.79	37.82
28.218	94.7278
28.191044	117.767232
33.27	126.32
-29.01670833	115.68388889
47.23	6.02
30.262953	120.184528
10.431	105.2978
39.9473	-75.1958
28.0	120.0
-38.05772	145.11496
-20.5	146.0
39.9042	116.4074
29.85374206	121.56146635
36.294843	138.356049
34.9993438	135.5521939
18.2642	-65.6483
7.87	80.77
45.8336	1.2611
31.04	34.85
37.9011	127.663
40.7805	-77.9518
40.8448	-73.8648
-34.85791961	179.0519333
-30.0158	-51.1348
41.89	-87.62
38.88912	-122.60507
47.23	5.96
52.1601	4.497
22.53	114.0
37.0	127.0
3.139	101.6869
29.0748	77.7082
47.75788	9.12617
49.7	14.0
52.590998	1.738313
37.14	-3.6
45.204444	36.785
8.0493	-75.574
25.809773	107.618045
28.191213	117.767145
37.113638	-79.272834
26.08	119.3
25.148545	107.500443
26.599527	105.728473
32.15	119.01
44.87	13.86
37.35201498	127.1229237
35.211852	-102.049306
20.99138062	105.86277218
45.070085	7.686364
39.99	116.32
45.852062	9.415055
32.92	117.38
47.562446	7.583217
-34.86107624	179.0576384
-34.8610792	179.057703
35.972722	36.128278
4.8	-75.6
60.11	30.18
43.39	111.54
55.608613	12.450537
55.421534	10.366234
-29.4075	30.67687
39.86447098	-123.7217
-33.87	151.21
30.256965	120.201625
22.38	114.05
25.049789	113.663394
26.533731	112.607945
26.600567	105.728232
50.448588	7.375355
42.28	-83.74
32.07	118.78
30.940541	117.989972
-28.5306	30.8958
22.81	108.35
32.39	120.56
26.9	112.56
31.85777	117.291472
31.11	121.37
43.26	76.93
23.8103	90.4125
47.55839	7.57327
1.345075	103.679741
36.0	117.0
47.591077	7.652974
33.45	-84.23
30.05	102.54
36.0	103.0
47.13	19.08
22.97439	88.455758
39.607273	2.645898
21.9	87.53
-33.45	-70.666667
22.572	114.508
29.002054	117.727611
-45.29	-73.83
23.259	114.613
41.25	16.25
24.833112	107.569054
39.56	116.117
35.91	139.44
-29.4072	30.9044
18.3747	-81.7973
-34.86208959	179.0573881
12.9246	79.1348
-15.806468	-47.882283
16.3017	101.1193
37.661915	-121.114554
39.9	116.05
37.568993	-122.295758
-23.39321	-69.60378
46.9443	-90.99678
64.876509	-147.666514
43.15	-77.6
46.9321	7.4199
28.68	121.43
31.677766	118.627945
8.0	-13.0
32.0	118.7
-26.2708	28.1123
24.9539	98.43819
36.9	116.3
30.003299	-89.826563
21.0277	105.8341
18.4122	-66.3313
39.99	116.3
47.36667	8.55
48.53	9.05
46.2276	2.2137
31.0982	-97.3428
-34.045028	25.656875
55.649286	12.058568
51.0447	-114.0719
50.56	-2.39
30.26	120.18
36.66	116.99
51.08	-1.38
29.68	115.82
19.785	-100.6543
48.245444	-4.151028
32.34	119.27
25.148155	107.500974
51.079948	-114.125534
25.049111	113.664022
52.52	13.4
21.0278	105.8342
40.76	-74.3
30.16	120.12
27.730192	34.189506
27.273295	-97.802328
38.5350089	-90.5760657
51.2964752	0.7851534
54.1903	16.1817
-34.041167	25.5385
49.183333	-0.35
55.249786	9.508609
1.3521	103.8198
22.59	114.552
-19.92097	-43.95264
42.36	-71.06
29.002513	117.727542
22.598	114.507
31.082771	118.256504
35.4817	140.3045
22.5957	89.6816
18.375	-81.7976
-29.4843	30.5038
1.492659	103.741356
22.55	114.12
44.43225	26.10626
46.2	6.14
-37.85	144.95
38.70266	-122.51889
51.5521	4.2845
37.896599	-122.526028
11.327	142.194
22.55	114.05
40.898889	-112.348889
32.6539	51.666
31.32	118.89
-34.40541	118.93713
16.8083	-88.1496
3.9956	101.3933
34.4	132.71
64.875646	-147.668981
48.846361	14.487639
60.22	5.21
35.824207	127.06105
29.6436	-82.3549
23.05	112.44
52.13	5.29
22.62	114.07
11.12	142.32
3.8009	-76.6413
46.188053	6.143417
46.21	48.03
51.8985	-8.4756
5.563	-0.2116
30.24	120.16
22.58	114.1
53.3597	-6.2671
22.75	-158.0
2.81954	-60.6714
31.85777	117.29147
23.8807	90.2765
27.7	85.3
51.7874	104.9391
5.5368	-0.2264
-34.86150855	179.0573001
-69.22	76.23
52.7668112	-2.165227
47.33	7.34
-29.3637	30.254171
-29.4104	30.67529
37.197953	96.868083
-33.026736	-71.638185
54.358	-128.541
34.99562	-98.68895
25.2854	51.531
-25.88	25.67
50.93	5.34
47.42	9.37
42.6977	23.3219
43.03331	-89.35633
-28.4541	26.7968
30.4	120.52
32.016212	120.864608
44.4912	11.3615
23.4357	90.223
43.6532	-79.3832
41.93	-87.64
38.6357	-90.2648
34.751046	-92.322621
26.529	88.823
7.383	3.884
43.505444	16.498611
55.843861	12.42477
30.67	104.06
44.585627	-121.446389
37.545015	-122.227814
56.742252	10.114475
34.097624	-118.291248
44.53249816	-110.797668
44.78	20.46
-27.0	153.0
38.46	116.49
50.77692	6.043417
53.94	-1.05
34.52	112.17
22.28	113.58
25.4	66.1
25.015556	121.540389
32.56	105.23
38.97322	-90.5425
30.26	120.2
42.0578	-87.676
-66.2	110.32
56.21314	10.242467
56.425251	9.455198
70.05	159.55
35.897	-98.275
46.966667	7.181111
41.54	12.28
26.533997	112.607511
12.3	76.65
40.913941	14.023953
29.7068	-95.3971
25.44	98.46
-20.82701792	-49.3976389
18.3769	-81.7979
37.7749	-122.4194
22.2697	114.1313
50.08781	14.42046
57.725038	12.963297
39.42	118.9
26.88	120.0
28.07	115.53
38.8872621	-76.5509356
40.11	-88.2
23.7932	90.2713
30.45	116.19
40.093	-88.218
37.920414	-122.378317
46.87681	-91.22521
49.84	18.28
51.17	10.45
44.69047	-110.72917
27.69	115.55
25.049027	113.663347
51.96	7.61
21.7615	70.6276
9.9025	114.564167
22.56	114.48
31.85777	117.291452
22.30743	39.122179
49.22	119.77
42.332	-83.01
19.73	110.0
30.8	105.39
41.57	112.5
1.344722	103.681389
33.653	73.0162
50.02	15.2
56.453767	10.070249
40.747596	-73.805517
6.368796	5.684881
18.24	109.36
31.277363	2.76446225
28.5402	77.1662
43.28991305	5.40090649
46.13	-67.84
50.92	11.58
31.677977	118.627556
44.55	6.48
15.5007	32.5599
24.6874	46.7038
50.536	4.399
32.14	118.95
23.125178	113.280637
-12.58	-38.3
39.95	-75.16
38.6	13.2
28.61	77.2
49.2266	28.448
48.23222	117.62305
45.05	7.666667
27.73	106.92
31.21	121.45
33.9354	-83.369
48.22	10.54
5.325464	103.151674
-27.4705	153.026
33.6844	73.0479
33.748783	-84.388168
39.38	108.717
21.37	108.2
31.85777	117.291462
18.0072	-65.8993
-29.8587	31.0218
-31.95	115.86
34.839798	-80.802502
-34.878866	179.071394
