Site,Type,Wrighton_name,Core_Depth_cm,Fluxes,Latitude,Longitude
APEX,upland,APEX_UP-D,194,Y,64.69829698,-148.326993
APEX,upland,APEX_UP-S,133,Y,64.69744203,-148.325142
APEX,valley bottom,APEX_VB,56,Y,64.69604266,-148.3205729
APEX,transition,APEX_TRAN,160,Y,64.69685496,-148.323837
APEX,valley bottom,APEX_BOG-S,149,Y,64.69623552,-148.3220923
BTL,slump,BTL_SLUMP1,81,N,64.92033804,-147.820039
BTL,slump,BTL_SLUMP2,156,N,64.92036201,-147.820059
BTL,thermokarst,BTL_TK-A10_1,145,N,64.92053401,-147.822086
BTL,thermokarst,BTL_TK-A10_2,110,N,64.92053401,-147.822086
BTL,wetland edge,BTL_WET,68,N,64.92031801,-147.820063
BTL,upland,BTL_UP,210,N,64.92073098,-147.822429
BTL,transition,BTL_TRAN,231,N,64.92022002,-147.822117
BTL,valley bottom,BTL_VB,165,N,64.92020301,-147.822058
BTL,slump,BTL_SLUMP3,181,N,64.92040925,-147.8203884
GLEN,thermokarst,PFT_TK1,195,Y,64.94973391,-147.6175723
GLEN,wetland edge,PFT_TK2,171,Y,64.94973408,-147.61753
GLEN,PFT,PFT_S,142,Y,64.95100545,-147.6203746
GLEN,valley bottom,GLEN_VB,181,Y,64.95110924,-147.6148098
GLEN,transition,GLEN_TRAN,160,Y,64.95092361,-147.6141282
GLEN,upland,GLEN_UP,158,Y,64.94938403,-147.6132039
VAUL,upland,VAUL_UP-S,102,Y,65.0217856,-147.7166982
VAUL,upland,VAUL_UP-D,50,Y,65.02149931,-147.7165207
VAUL,tundra,VAUL_TUNDRA,171,Y,65.0315939,-147.7128211
VAUL,valley bottom,VAUL_VB,163,Y,65.02942652,-147.7157143
VAUL,transition,VAUL_TRAN,132,Y,65.02195842,-147.7180824
VAUL,wetland edge,VAUL_WL,212,Y,65.03258874,-147.7149497
